355743081,r452d0wbba@aol.com,542116144,Kansas City MO,291
394239302,s0g4vwybwy@yahoo.com,674984113,Kansas City MO,841
442334304,gbei41vw4e@ou.edu,585870585,Rochester NY,903
397633666,anb4d2ki84@gmail.com,819078541,Pittsburgh PA,993
297042642,fjxrk1sjnl@gmail.com,847907421,Trenton NJ,883
523832656,rwv6pa3x0y@ou.edu,430737276,Corsicana TX,148
384347036,of8iacdx4a@ou.edu,717147436,Lawton OK,243
269930499,m7z2feey2s@ou.edu,919891724,Bismarck ND,622
555800132,srwd1y5qa4@ou.edu,155041723,Dallas TX,395
456042335,t0bf8ueggf@ou.edu,542214138,Pittsburgh PA,699
325116715,gvwj8b3jne@yahoo.com,841814133,Pittsburgh PA,251
343051634,q21hb6rqxe@yahoo.com,448312383,Norman OK,539
367061959,cff5tn2m8e@osu.edu,593620660,Pittsburgh PA,3
145910123,byg979ay7e@ou.edu,849894061,Miami FL,218
300012435,z1v04qtada@aol.com,353626492,Lawton OK,995
412443067,k2ic90hvit@osu.edu,930969272,Norman OK,89
394508134,kwt9013dhy@osu.edu,237498364,Tallahassee FL,698
301726492,n232dvuap5@yahoo.com,802885057,Trenton NJ,514
398120967,lpr4gean9k@yahoo.com,184838541,Lawton OK,245
301721565,c4agnb02yj@ou.edu,432052754,Trenton NJ,420
271515500,u21otosxim@gmail.com,947900383,Fort Lauderdale,FL,116
273452154,xqm9mm8l4y@gmail.com,608722440,Tallahassee FL,884
532562821,a2tq9xw1qx@yahoo.com,980845689,Wichita KS,498
275268943,vncnk5p6xr@ou.edu,213040345,Rochester NY,126
321579851,fxhgfbv9yg@ou.edu,458771160,Norman OK,42
467753757,l33akb89xv@yahoo.com,179306594,Lawton OK,968
325954622,wrs3bb912v@osu.edu,546410944,Dallas TX,87
466121896,kz8ckekr11@aol.com,768513022,Miami FL,471
296171243,vp85o9rjol@yahoo.com,840966982,Tallahassee FL,156
270231980,br1r55vn7e@aol.com,833609475,Wichita KS,123
554402185,elcy5sr9i7@ou.edu,578718409,Norman OK,476
300385517,v1ie4p7h99@aol.com,890981423,Corsicana TX,385
466311355,ve84xno0c4@gmail.com,775137531,Lawton OK,86
512896378,s2e0mi5syz@osu.edu,480526299,Miami FL,628
363319244,j1i6xa8f2z@osu.edu,455747922,Houston TX,833
332577132,qtscavwuzk@osu.edu,891158919,Wichita KS,703
167063179,m5cnyvas0o@gmail.com,203367296,Fort Lauderdale,FL,470
381754880,sstns9cv27@gmail.com,461882516,Wichita KS,420
294854135,bfnhfnnx82@aol.com,479628703,Houston TX,711
388622544,nqe1spe3nb@aol.com,522743746,Rochester NY,851
380847759,zyhgijg8qa@aol.com,908853396,Houston TX,715
380608882,lh7c0b1ou2@aol.com,861401248,Pittsburgh PA,994
44312605,w6by9ye154@gmail.com,489731405,Miami FL,347
403996946,wm1f1rt5l8@osu.edu,807148669,Corsicana TX,623
540748208,s15jlucm07@ou.edu,825280832,Lawton OK,823
321405950,hlwq4ueohc@ou.edu,192195125,Bismarck ND,794
426907745,xjnnruwung@gmail.com,749694389,Lawton OK,334
184426481,x7rla0y1qc@yahoo.com,767460006,Fort Lauderdale,FL,450
435923452,h08flxxyr6@ou.edu,756822767,Rochester NY,476
411000199,u38jige469@yahoo.com,433424828,Houston TX,317
533836053,kd95g6hz4v@yahoo.com,219913566,Rochester NY,931
354607164,lx6fbpfw7z@ou.edu,513372630,Corsicana TX,725
554003471,ucum0rs5p7@osu.edu,360161456,Fort Lauderdale,FL,179
398462787,pxzc3prq6z@aol.com,507804125,Miami FL,68
478817325,ju8u8do58l@yahoo.com,762290446,Pittsburgh PA,79
399527237,rmltkyx59m@ou.edu,809064121,Rochester NY,806
455060666,nhjkxi2g5b@aol.com,768573185,Kansas City MO,148
186353014,r2qyks307k@aol.com,674629631,Corsicana TX,36
298357905,vksr26j7z7@gmail.com,626990789,Bismarck ND,414
110260678,o3dv0r42kw@gmail.com,116562822,Kansas City MO,7
292608038,et9btqzjp2@ou.edu,699277732,Norman OK,641
301282103,gyito8793w@gmail.com,735960626,Bismarck ND,702
395873820,d2ciz32q4u@aol.com,200993607,Miami FL,469
307121607,z17nsejo8a@aol.com,797681712,Houston TX,262
299105597,lgu4jp0m37@osu.edu,207845260,Rochester NY,638
356003327,w8bhaj7kkj@yahoo.com,735727473,Corsicana TX,121
311704980,bzgpfedwbz@ou.edu,281647467,Norman OK,175
100322679,oaqxnyuchs@ou.edu,307310469,Houston TX,508
291245327,i7d6wgt86v@aol.com,930546381,Bismarck ND,278
180717062,oe7m5nlmyu@yahoo.com,348198266,Pittsburgh PA,445
349932090,h50n02qqss@yahoo.com,916495606,Pittsburgh PA,253
299980984,gyg05fmbz6@aol.com,358377744,Trenton NJ,84
287906361,qfe5c4kj6u@ou.edu,828553281,Houston TX,35
411786274,s9gp0g0b0x@aol.com,822192391,Tallahassee FL,369
366472553,bvt0t3lvcf@aol.com,142626943,Wichita KS,420
295062437,x7yoke6oke@aol.com,580146022,Rochester NY,90
373206070,xphucgqmdv@aol.com,413690168,Wichita KS,345
90084099,l42u7j61kq@aol.com,223719175,Miami FL,79
354139446,pyed0k9rxw@ou.edu,128668346,Pittsburgh PA,916
301529877,zj0avkmy94@osu.edu,658826825,Norman OK,270
512638904,qsat0mqtf9@yahoo.com,179966819,Lawton OK,130
297358566,znvbxm3by1@gmail.com,813204572,Houston TX,355
379644023,bcoywhovg6@osu.edu,651312993,Trenton NJ,446
1239301,v5wtga7kcz@osu.edu,398189129,Fort Lauderdale,FL,732
339799759,hnqioq313o@yahoo.com,428000745,Rochester NY,144
307721313,sud2dtc6d7@ou.edu,194874419,Rochester NY,328
294212020,zs9kkz9x0l@osu.edu,375773254,Miami FL,489
330314403,pawdeagjjm@ou.edu,801151156,Houston TX,182
320995385,td11y1uh3l@osu.edu,823686365,Wichita KS,235
536893070,ltfxuvrfeo@aol.com,237878355,Norman OK,360
545106865,xod0f0snmi@ou.edu,291837268,Lawton OK,87
24182811,vm8obaf883@yahoo.com,967545052,Miami FL,635
338614678,ioqjextnv6@ou.edu,466844785,Tallahassee FL,991
374833275,sqb11lmtmv@osu.edu,927732405,Houston TX,377
399505497,gyp4fpjjag@gmail.com,988289251,Corsicana TX,571
399644859,v1maqa1rwo@ou.edu,409596023,Fort Lauderdale,FL,164
519281688,yy1al7a90l@yahoo.com,568717182,Bismarck ND,404
304538673,fqgmlevjhw@yahoo.com,696651998,Houston TX,223
354105472,sfhtwgpyyd@gmail.com,713537689,Dallas TX,995
368829926,nfbsvcexjc@aol.com,974976947,Norman OK,370
180463340,fzuujpuabq@gmail.com,765246156,Houston TX,449
290929161,hovxns0c9s@aol.com,861491284,Trenton NJ,723
14936610,ifn4swcm7z@gmail.com,648241503,Dallas TX,296
357984457,ax27uqavow@ou.edu,472522191,Kansas City MO,907
297229855,zio3e5r4hw@ou.edu,466055341,Norman OK,835
395029889,vlm43y54zh@yahoo.com,859555684,Kansas City MO,645
