r452d0wbba@aol.com,90,2
s0g4vwybwy@yahoo.com,91,328
gbei41vw4e@ou.edu,80,918
anb4d2ki84@gmail.com,80,636
fjxrk1sjnl@gmail.com,95,928
rwv6pa3x0y@ou.edu,23,560
of8iacdx4a@ou.edu,81,289
m7z2feey2s@ou.edu,75,985
srwd1y5qa4@ou.edu,91,313
t0bf8ueggf@ou.edu,97,83
gvwj8b3jne@yahoo.com,5,611
q21hb6rqxe@yahoo.com,75,805
cff5tn2m8e@osu.edu,48,58
byg979ay7e@ou.edu,36,637
z1v04qtada@aol.com,58,337
k2ic90hvit@osu.edu,42,774
kwt9013dhy@osu.edu,0,395
n232dvuap5@yahoo.com,1,568
lpr4gean9k@yahoo.com,85,195
c4agnb02yj@ou.edu,41,78
u21otosxim@gmail.com,23,38
xqm9mm8l4y@gmail.com,82,806
a2tq9xw1qx@yahoo.com,73,32
vncnk5p6xr@ou.edu,46,626
fxhgfbv9yg@ou.edu,20,175
l33akb89xv@yahoo.com,41,226
wrs3bb912v@osu.edu,79,519
kz8ckekr11@aol.com,0,677
vp85o9rjol@yahoo.com,63,504
br1r55vn7e@aol.com,21,874
elcy5sr9i7@ou.edu,54,920
v1ie4p7h99@aol.com,38,290
ve84xno0c4@gmail.com,40,470
s2e0mi5syz@osu.edu,87,969
j1i6xa8f2z@osu.edu,16,217
qtscavwuzk@osu.edu,21,805
m5cnyvas0o@gmail.com,62,702
sstns9cv27@gmail.com,31,343
bfnhfnnx82@aol.com,83,391
nqe1spe3nb@aol.com,13,765
zyhgijg8qa@aol.com,18,146
lh7c0b1ou2@aol.com,23,584
w6by9ye154@gmail.com,43,656
wm1f1rt5l8@osu.edu,24,517
s15jlucm07@ou.edu,17,295
hlwq4ueohc@ou.edu,6,495
xjnnruwung@gmail.com,21,532
x7rla0y1qc@yahoo.com,86,527
h08flxxyr6@ou.edu,40,598
u38jige469@yahoo.com,11,413
kd95g6hz4v@yahoo.com,19,511
lx6fbpfw7z@ou.edu,71,686
ucum0rs5p7@osu.edu,0,226
pxzc3prq6z@aol.com,78,420
ju8u8do58l@yahoo.com,40,355
rmltkyx59m@ou.edu,51,295
nhjkxi2g5b@aol.com,70,20
r2qyks307k@aol.com,5,895
vksr26j7z7@gmail.com,45,200
o3dv0r42kw@gmail.com,39,93
et9btqzjp2@ou.edu,47,173
gyito8793w@gmail.com,19,625
d2ciz32q4u@aol.com,56,430
z17nsejo8a@aol.com,12,431
lgu4jp0m37@osu.edu,41,464
w8bhaj7kkj@yahoo.com,75,623
bzgpfedwbz@ou.edu,86,610
oaqxnyuchs@ou.edu,62,379
i7d6wgt86v@aol.com,29,350
oe7m5nlmyu@yahoo.com,98,318
h50n02qqss@yahoo.com,48,978
gyg05fmbz6@aol.com,40,652
qfe5c4kj6u@ou.edu,64,829
s9gp0g0b0x@aol.com,83,506
bvt0t3lvcf@aol.com,33,460
x7yoke6oke@aol.com,89,651
xphucgqmdv@aol.com,24,896
l42u7j61kq@aol.com,52,779
pyed0k9rxw@ou.edu,20,946
zj0avkmy94@osu.edu,78,18
qsat0mqtf9@yahoo.com,0,391
znvbxm3by1@gmail.com,27,641
bcoywhovg6@osu.edu,44,922
v5wtga7kcz@osu.edu,2,960
hnqioq313o@yahoo.com,1,64
sud2dtc6d7@ou.edu,17,24
zs9kkz9x0l@osu.edu,28,888
pawdeagjjm@ou.edu,88,591
td11y1uh3l@osu.edu,81,486
ltfxuvrfeo@aol.com,55,548
xod0f0snmi@ou.edu,40,56
vm8obaf883@yahoo.com,76,856
ioqjextnv6@ou.edu,29,734
sqb11lmtmv@osu.edu,28,495
gyp4fpjjag@gmail.com,37,641
v1maqa1rwo@ou.edu,48,820
yy1al7a90l@yahoo.com,90,156
fqgmlevjhw@yahoo.com,56,71
sfhtwgpyyd@gmail.com,67,464
nfbsvcexjc@aol.com,60,832
fzuujpuabq@gmail.com,64,664
hovxns0c9s@aol.com,71,400
ifn4swcm7z@gmail.com,57,0
ax27uqavow@ou.edu,22,898
zio3e5r4hw@ou.edu,27,38
vlm43y54zh@yahoo.com,87,893
ohykdjkv9n@osu.edu,90,894
zmavjhzrk9@osu.edu,16,477
dll4o0r3vi@aol.com,59,192
j4awm0mxof@aol.com,68,189
pbsgkx3m6y@yahoo.com,38,824
